lh.aparc.foldind	lh_bankssts_foldind	lh_caudalanteriorcingulate_foldind	lh_caudalmiddlefrontal_foldind	lh_cuneus_foldind	lh_entorhinal_foldind	lh_fusiform_foldind	lh_inferiorparietal_foldind	lh_inferiortemporal_foldind	lh_isthmuscingulate_foldind	lh_lateraloccipital_foldind	lh_lateralorbitofrontal_foldind	lh_lingual_foldind	lh_medialorbitofrontal_foldind	lh_middletemporal_foldind	lh_parahippocampal_foldind	lh_paracentral_foldind	lh_parsopercularis_foldind	lh_parsorbitalis_foldind	lh_parstriangularis_foldind	lh_pericalcarine_foldind	lh_postcentral_foldind	lh_posteriorcingulate_foldind	lh_precentral_foldind	lh_precuneus_foldind	lh_rostralanteriorcingulate_foldind	lh_rostralmiddlefrontal_foldind	lh_superiorfrontal_foldind	lh_superiorparietal_foldind	lh_superiortemporal_foldind	lh_supramarginal_foldind	lh_frontalpole_foldind	lh_temporalpole_foldind	lh_transversetemporal_foldind	lh_insula_foldind	BrainSegVolNotVent	eTIV
sub-SAN_001	5.0	12.0	23.0	29.0	6.0	36.0	60.0	50.0	13.0	72.0	42.0	44.0	32.0	41.0	6.0	12.0	15.0	16.0	20.0	25.0	41.0	19.0	43.0	55.0	9.0	92.0	80.0	79.0	39.0	60.0	5.0	9.0	6.0	19.0	1096432.0	1584822.689354
sub-SAN_003	7.0	16.0	22.0	33.0	5.0	48.0	69.0	55.0	13.0	114.0	39.0	48.0	53.0	44.0	4.0	13.0	19.0	10.0	23.0	25.0	48.0	21.0	62.0	60.0	10.0	70.0	78.0	83.0	39.0	50.0	6.0	9.0	5.0	32.0	1088990.0	992870.183594
sub-SAN_004	9.0	26.0	26.0	27.0	4.0	45.0	66.0	56.0	27.0	103.0	31.0	53.0	28.0	53.0	5.0	8.0	14.0	10.0	17.0	27.0	76.0	21.0	53.0	48.0	16.0	79.0	69.0	75.0	49.0	58.0	6.0	10.0	7.0	24.0	1218335.0	1137338.68849
sub-SAN_005	9.0	9.0	24.0	25.0	4.0	42.0	64.0	52.0	13.0	69.0	31.0	38.0	44.0	50.0	7.0	12.0	15.0	12.0	15.0	15.0	46.0	19.0	47.0	46.0	10.0	86.0	68.0	76.0	44.0	62.0	8.0	9.0	6.0	46.0	997606.0	1394186.182988
sub-SAN_006	4.0	10.0	28.0	29.0	4.0	42.0	54.0	44.0	14.0	90.0	35.0	60.0	50.0	39.0	7.0	15.0	18.0	10.0	17.0	28.0	38.0	18.0	53.0	46.0	11.0	70.0	82.0	74.0	38.0	49.0	6.0	9.0	6.0	21.0	1074106.0	1001933.714542
sub-SAN_008	6.0	12.0	20.0	25.0	2.0	36.0	56.0	43.0	12.0	87.0	31.0	43.0	26.0	37.0	5.0	10.0	16.0	10.0	10.0	25.0	39.0	15.0	46.0	44.0	11.0	77.0	68.0	56.0	30.0	43.0	5.0	6.0	5.0	17.0	1034954.0	922829.551176
sub-SAN_009	7.0	9.0	21.0	26.0	3.0	50.0	50.0	43.0	19.0	89.0	39.0	51.0	37.0	49.0	9.0	14.0	16.0	12.0	14.0	36.0	41.0	23.0	40.0	65.0	6.0	71.0	80.0	94.0	47.0	52.0	4.0	10.0	9.0	21.0	957809.0	884022.354862
sub-SAN_015	9.0	4.0	22.0	24.0	4.0	38.0	46.0	33.0	15.0	76.0	26.0	41.0	31.0	39.0	5.0	9.0	16.0	11.0	16.0	27.0	40.0	11.0	51.0	50.0	7.0	70.0	79.0	58.0	31.0	45.0	6.0	6.0	8.0	24.0	974506.0	899587.403564
sub-SAN_021	7.0	11.0	20.0	22.0	4.0	48.0	61.0	51.0	19.0	82.0	35.0	41.0	40.0	38.0	8.0	10.0	28.0	12.0	23.0	21.0	39.0	17.0	43.0	53.0	15.0	84.0	91.0	85.0	34.0	44.0	5.0	8.0	5.0	16.0	1229370.0	1152110.127842
sub-SAN_022	12.0	8.0	23.0	19.0	4.0	47.0	67.0	58.0	15.0	75.0	43.0	41.0	39.0	44.0	6.0	11.0	20.0	11.0	15.0	13.0	49.0	18.0	41.0	62.0	17.0	93.0	96.0	79.0	38.0	60.0	6.0	7.0	4.0	22.0	1069245.0	1449552.821989
