lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-SAN_001	2.464	2.788	2.347	1.631	3.761	2.574	2.193	2.166	2.408	1.966	2.362	2.089	2.159	2.098	2.908	2.477	2.403	2.197	2.197	1.313	1.895	2.332	2.42	2.36	2.784	2.059	2.459	2.01	2.476	2.16	2.189	3.137	2.44	3.282	2.25629	1090732.0	1010279.205684
sub-SAN_003	2.2	2.444	2.248	1.479	3.634	2.516	2.167	2.193	2.293	1.975	2.428	1.785	2.177	2.166	3.234	2.34	2.411	2.386	2.317	1.233	1.817	2.433	2.283	2.267	2.813	2.073	2.545	2.026	2.518	2.165	2.357	3.276	2.404	2.679	2.21309	1088990.0	992870.183594
sub-SAN_004	2.249	2.549	2.395	1.835	3.229	2.566	2.255	2.296	2.392	2.0	2.655	1.806	2.393	2.313	3.102	2.685	2.422	2.575	2.257	1.423	2.029	2.352	2.632	2.529	2.683	2.077	2.535	2.11	2.429	2.335	2.764	3.683	2.209	3.181	2.33027	1218335.0	1137338.68849
sub-SAN_005	2.561	3.05	2.617	1.962	3.234	2.808	2.515	2.6	2.486	2.292	2.793	2.04	2.407	2.574	3.04	2.601	2.548	2.768	2.604	1.434	2.036	2.658	2.726	2.633	2.817	2.421	2.922	2.26	2.686	2.419	2.973	3.936	2.453	2.869	2.52773	997606.0	1394186.182988
sub-SAN_006	2.347	2.519	2.429	1.681	3.339	2.657	2.327	2.338	2.336	1.944	2.302	1.833	2.149	2.47	3.13	2.383	2.436	2.554	2.23	1.041	1.995	2.471	2.627	2.393	2.405	2.206	2.667	2.072	2.626	2.22	2.617	3.943	2.281	3.035	2.31805	1074106.0	1001933.714542
sub-SAN_008	2.164	2.43	2.411	1.917	3.672	2.361	2.19	2.279	2.278	2.176	2.274	2.052	2.011	2.342	2.785	2.494	2.281	2.453	2.259	1.497	2.14	2.267	2.77	2.345	2.177	2.226	2.714	2.27	2.512	2.347	2.91	3.145	2.777	2.739	2.35213	1034954.0	922829.551176
sub-SAN_009	2.178	2.894	2.365	1.777	2.738	2.547	2.249	2.158	2.374	1.793	2.378	1.657	2.321	2.146	2.695	2.385	2.587	2.648	2.313	1.258	1.88	2.55	2.431	2.187	2.656	2.147	2.51	1.898	2.456	2.199	2.739	4.014	2.243	2.981	2.20946	957809.0	884022.354862
sub-SAN_015	2.321	2.65	2.371	1.418	3.331	2.608	2.38	2.364	2.323	1.846	2.578	1.712	2.208	2.409	3.368	2.435	2.31	2.398	2.394	1.217	1.918	2.684	2.367	2.115	2.265	2.118	2.54	2.096	2.497	2.395	2.444	3.82	2.057	2.759	2.27283	974506.0	899587.403564
sub-SAN_021	2.309	2.079	2.67	1.674	3.325	2.68	2.483	2.473	2.437	1.997	2.633	1.848	2.363	2.443	3.116	2.589	2.559	2.521	2.2	1.166	2.014	2.263	2.766	2.512	2.423	2.229	2.694	2.247	2.615	2.473	2.371	3.946	2.801	3.276	2.41929	1229370.0	1152110.127842
sub-SAN_022	2.595	2.586	2.473	1.844	3.446	2.898	2.471	2.745	2.435	2.186	2.508	2.15	2.21	2.744	2.783	2.582	2.383	2.694	2.398	1.588	2.039	2.662	2.706	2.417	2.843	2.176	2.76	2.183	2.746	2.439	2.632	3.993	2.489	3.298	2.49368	1069245.0	1449552.821989
sub-SAN_023	2.213	2.178	2.113	1.619	3.166	2.528	2.281	2.045	2.321	1.932	2.265	1.893	2.047	1.979	2.271	2.357	2.28	2.218	2.049	1.228	1.831	2.366	2.466	2.431	2.165	2.036	2.408	2.012	2.277	2.218	2.374	2.658	2.422	2.864	2.18202	1057188.0	974402.751316
sub-SAN_024	2.525	2.707	2.804	1.854	3.535	2.819	2.494	2.745	2.537	2.228	3.004	2.026	2.653	2.938	3.094	2.664	2.892	2.74	2.54	1.531	1.946	2.66	2.768	2.481	2.943	2.449	3.011	2.35	2.933	2.495	2.769	4.088	2.823	3.316	2.606	1112959.0	1297886.166557
sub-SAN_030	2.178	2.186	2.36	1.593	2.537	2.585	2.242	2.001	2.303	2.023	2.62	1.977	2.051	2.178	2.601	2.126	2.111	2.214	2.077	1.418	2.085	2.279	1.922	2.466	2.389	1.987	2.522	2.201	2.154	2.135	1.905	3.142	2.457	2.886	2.20892	1085936.0	983547.686108
sub-SAN_032	2.304	2.633	2.561	1.871	3.223	2.838	2.513	2.548	2.354	2.134	2.58	1.943	2.219	2.602	3.016	2.455	2.763	2.945	2.451	1.639	2.03	2.775	2.55	2.395	2.558	2.315	2.819	2.215	2.895	2.618	2.544	3.733	2.632	2.96	2.49315	1009734.0	1396155.803869
sub-SAN_034	2.403	2.279	2.221	1.605	3.046	2.609	2.305	2.205	2.349	1.977	2.355	1.862	2.2	2.218	2.93	2.411	2.274	2.302	2.266	1.337	1.99	2.354	2.378	2.407	2.653	2.032	2.575	2.111	2.555	2.38	2.074	3.351	2.322	2.855	2.27681	991697.0	874283.698998
sub-SAN_036	2.314	2.394	2.423	1.5	3.476	2.5	2.227	2.246	2.127	2.007	2.459	1.877	2.301	2.219	2.563	2.39	2.265	2.207	2.189	1.217	1.908	2.289	2.39	2.371	2.329	2.077	2.429	2.054	2.44	2.266	2.321	3.438	2.254	2.972	2.24326	976705.0	894966.740372
sub-SAN_038	2.071	2.463	2.21	1.616	2.709	2.557	2.09	2.223	2.271	1.947	2.337	1.96	2.127	2.131	2.941	2.669	2.318	2.261	2.203	1.307	1.848	2.299	2.552	2.475	2.442	1.947	2.572	2.083	2.53	2.226	2.343	3.315	2.478	3.048	2.26178	1170336.0	1110896.210119
sub-SAN_040	2.399	2.332	2.265	1.726	3.514	2.49	2.188	2.277	2.148	1.775	2.281	1.749	2.148	2.42	3.198	2.053	2.613	2.238	2.276	1.382	1.732	2.166	2.459	2.239	2.329	2.23	2.578	2.027	2.491	2.171	2.024	3.8	2.372	2.743	2.23469	1050661.0	939712.730654
sub-SAN_042	2.336	2.554	2.3	1.752	2.996	2.45	2.285	2.084	2.476	1.901	2.417	2.018	2.121	2.003	2.846	2.449	2.373	2.385	2.231	1.489	1.896	2.325	2.432	2.313	2.662	2.081	2.603	2.111	2.165	2.152	2.638	3.416	2.366	3.004	2.23831	1039688.0	1025428.140357
sub-SAN_043	2.214	2.156	2.39	1.572	2.64	2.262	2.27	2.178	2.529	2.034	2.342	1.762	2.238	2.117	2.819	2.44	2.297	2.324	2.202	1.16	1.962	2.406	2.605	2.503	2.441	2.187	2.599	2.117	2.265	2.391	2.352	3.306	2.213	2.747	2.26428	1235153.0	1192285.566108
sub-SAN_044	2.195	1.939	2.066	1.532	3.523	2.535	2.098	2.347	2.387	1.95	2.441	1.835	2.109	2.404	2.494	2.143	2.356	2.448	2.289	1.484	1.872	2.261	2.218	2.26	2.31	1.928	2.374	1.982	2.394	2.171	2.553	3.61	2.434	2.976	2.1938	880914.0	797175.768185
sub-SAN_046	2.122	2.256	2.185	1.407	3.449	2.55	2.231	2.432	2.515	1.843	2.347	1.659	2.103	2.314	2.446	2.483	2.289	2.246	2.272	1.123	1.952	2.28	2.641	2.204	2.339	1.862	2.241	2.039	2.519	2.166	2.013	3.446	2.138	2.805	2.19899	1256330.0	1121548.230544
sub-SAN_047	2.091	2.319	2.212	1.587	2.953	2.483	2.163	2.263	2.29	1.914	2.509	1.702	2.125	2.343	2.87	2.161	2.264	2.53	2.112	1.284	1.784	2.59	2.26	2.27	2.455	2.14	2.404	2.019	2.426	2.176	2.685	4.095	2.335	3.317	2.21571	908792.0	860093.897055
sub-SAN_050	2.174	2.44	2.334	1.664	3.022	2.448	2.136	2.076	2.527	1.797	2.315	1.687	2.206	2.261	2.781	2.211	2.329	2.281	2.137	1.227	1.837	2.58	2.386	2.309	2.192	2.019	2.55	1.971	2.548	2.145	2.31	3.209	2.531	3.112	2.19521	1147752.0	1098080.945136
