rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
sub-SAN_001	8.0	14.0	25.0	26.0	3.0	31.0	56.0	44.0	14.0	85.0	45.0	47.0	52.0	38.0	6.0	12.0	19.0	14.0	20.0	26.0	38.0	21.0	43.0	54.0	8.0	69.0	74.0	71.0	36.0	39.0	6.0	10.0	6.0	19.0	1096432.0	1584822.689354
sub-SAN_003	11.0	11.0	19.0	38.0	5.0	41.0	76.0	44.0	13.0	84.0	41.0	66.0	42.0	54.0	5.0	14.0	13.0	13.0	19.0	37.0	41.0	18.0	50.0	63.0	7.0	90.0	92.0	65.0	39.0	58.0	8.0	9.0	4.0	33.0	1088990.0	992870.183594
sub-SAN_004	5.0	9.0	27.0	33.0	4.0	43.0	76.0	40.0	22.0	101.0	42.0	60.0	36.0	45.0	5.0	13.0	14.0	14.0	20.0	29.0	41.0	19.0	54.0	57.0	6.0	74.0	80.0	71.0	44.0	56.0	9.0	11.0	5.0	22.0	1218335.0	1137338.68849
sub-SAN_005	9.0	12.0	23.0	22.0	3.0	38.0	88.0	48.0	19.0	81.0	40.0	43.0	47.0	62.0	8.0	14.0	18.0	11.0	22.0	15.0	38.0	20.0	38.0	42.0	11.0	91.0	72.0	75.0	44.0	51.0	8.0	8.0	4.0	26.0	997606.0	1394186.182988
sub-SAN_006	7.0	16.0	24.0	29.0	4.0	41.0	57.0	41.0	15.0	73.0	46.0	59.0	37.0	39.0	5.0	9.0	16.0	13.0	18.0	29.0	39.0	23.0	51.0	51.0	9.0	88.0	67.0	56.0	37.0	48.0	10.0	6.0	5.0	19.0	1074106.0	1001933.714542
sub-SAN_008	5.0	9.0	15.0	24.0	1.0	33.0	62.0	34.0	12.0	76.0	35.0	55.0	32.0	36.0	4.0	10.0	17.0	12.0	18.0	25.0	40.0	18.0	41.0	45.0	8.0	84.0	62.0	56.0	35.0	37.0	7.0	6.0	4.0	31.0	1034954.0	922829.551176
sub-SAN_009	6.0	7.0	27.0	32.0	4.0	48.0	61.0	49.0	12.0	99.0	38.0	54.0	34.0	41.0	9.0	21.0	19.0	10.0	23.0	42.0	45.0	14.0	52.0	44.0	8.0	86.0	102.0	57.0	45.0	35.0	6.0	8.0	5.0	23.0	957809.0	884022.354862
sub-SAN_015	7.0	11.0	18.0	34.0	4.0	31.0	61.0	32.0	15.0	79.0	34.0	42.0	30.0	41.0	6.0	11.0	18.0	11.0	16.0	24.0	38.0	16.0	38.0	44.0	10.0	73.0	67.0	56.0	38.0	41.0	7.0	7.0	3.0	19.0	974506.0	899587.403564
sub-SAN_021	3.0	16.0	20.0	29.0	5.0	46.0	67.0	45.0	16.0	76.0	40.0	44.0	37.0	47.0	5.0	14.0	19.0	13.0	23.0	25.0	41.0	19.0	49.0	54.0	11.0	94.0	90.0	71.0	37.0	46.0	6.0	11.0	6.0	20.0	1229370.0	1152110.127842
sub-SAN_022	9.0	15.0	27.0	28.0	4.0	45.0	69.0	48.0	12.0	66.0	45.0	44.0	47.0	45.0	6.0	18.0	16.0	11.0	15.0	27.0	37.0	23.0	43.0	54.0	12.0	89.0	88.0	74.0	37.0	57.0	7.0	6.0	5.0	20.0	1069245.0	1449552.821989
sub-SAN_023	9.0	10.0	17.0	30.0	6.0	37.0	65.0	39.0	10.0	76.0	36.0	58.0	28.0	40.0	5.0	14.0	12.0	11.0	15.0	36.0	41.0	15.0	44.0	57.0	10.0	71.0	77.0	67.0	33.0	38.0	5.0	7.0	3.0	38.0	1057188.0	974402.751316
sub-SAN_024	6.0	12.0	26.0	31.0	4.0	52.0	79.0	44.0	15.0	83.0	40.0	52.0	43.0	52.0	5.0	14.0	13.0	13.0	19.0	20.0	49.0	23.0	48.0	50.0	10.0	99.0	88.0	71.0	50.0	56.0	10.0	10.0	4.0	24.0	1112959.0	1297886.166557
sub-SAN_030	7.0	11.0	22.0	31.0	4.0	36.0	81.0	46.0	17.0	87.0	35.0	48.0	30.0	38.0	5.0	14.0	16.0	14.0	17.0	19.0	47.0	17.0	47.0	52.0	7.0	70.0	53.0	71.0	27.0	38.0	6.0	11.0	4.0	19.0	1085936.0	983547.686108
sub-SAN_032	5.0	10.0	19.0	30.0	4.0	54.0	83.0	60.0	13.0	88.0	42.0	46.0	59.0	46.0	5.0	19.0	16.0	19.0	22.0	30.0	65.0	20.0	55.0	69.0	10.0	103.0	110.0	95.0	44.0	51.0	9.0	12.0	6.0	28.0	1009734.0	1396155.803869
sub-SAN_034	7.0	12.0	19.0	27.0	4.0	34.0	80.0	40.0	16.0	68.0	33.0	56.0	26.0	42.0	5.0	11.0	17.0	11.0	19.0	26.0	45.0	21.0	41.0	48.0	9.0	70.0	63.0	71.0	32.0	43.0	8.0	11.0	5.0	22.0	991697.0	874283.698998
sub-SAN_036	6.0	9.0	18.0	24.0	5.0	31.0	74.0	40.0	12.0	65.0	31.0	52.0	32.0	37.0	6.0	16.0	12.0	13.0	16.0	26.0	34.0	28.0	50.0	46.0	10.0	76.0	80.0	61.0	32.0	36.0	9.0	8.0	3.0	23.0	976705.0	894966.740372
sub-SAN_038	5.0	10.0	33.0	35.0	5.0	42.0	65.0	42.0	14.0	103.0	34.0	43.0	30.0	46.0	5.0	15.0	15.0	13.0	23.0	21.0	34.0	22.0	53.0	46.0	6.0	94.0	90.0	60.0	41.0	41.0	6.0	8.0	6.0	29.0	1170336.0	1110896.210119
sub-SAN_040	6.0	16.0	16.0	35.0	3.0	36.0	65.0	52.0	18.0	93.0	55.0	54.0	34.0	40.0	6.0	15.0	15.0	14.0	24.0	32.0	44.0	21.0	38.0	45.0	11.0	81.0	77.0	61.0	39.0	36.0	6.0	8.0	4.0	21.0	1050661.0	939712.730654
sub-SAN_042	10.0	11.0	18.0	25.0	4.0	36.0	67.0	41.0	14.0	78.0	37.0	57.0	34.0	37.0	9.0	19.0	18.0	18.0	21.0	24.0	45.0	17.0	43.0	45.0	11.0	81.0	80.0	64.0	38.0	50.0	6.0	10.0	4.0	23.0	1039688.0	1025428.140357
sub-SAN_043	4.0	15.0	31.0	33.0	4.0	45.0	57.0	45.0	15.0	96.0	47.0	53.0	37.0	43.0	7.0	20.0	13.0	16.0	19.0	35.0	37.0	54.0	68.0	60.0	11.0	92.0	85.0	69.0	37.0	49.0	9.0	7.0	5.0	24.0	1235153.0	1192285.566108
sub-SAN_044	5.0	9.0	16.0	24.0	2.0	32.0	68.0	38.0	13.0	78.0	26.0	44.0	30.0	40.0	5.0	13.0	9.0	10.0	16.0	16.0	36.0	17.0	52.0	39.0	7.0	71.0	70.0	56.0	27.0	44.0	7.0	5.0	4.0	15.0	880914.0	797175.768185
sub-SAN_046	6.0	16.0	23.0	34.0	6.0	55.0	93.0	52.0	20.0	117.0	38.0	61.0	31.0	47.0	6.0	17.0	13.0	18.0	22.0	27.0	45.0	23.0	62.0	64.0	14.0	86.0	87.0	84.0	30.0	56.0	7.0	7.0	4.0	49.0	1256330.0	1121548.230544
sub-SAN_047	6.0	9.0	18.0	31.0	6.0	43.0	77.0	37.0	14.0	68.0	30.0	42.0	39.0	40.0	6.0	15.0	17.0	14.0	17.0	22.0	40.0	16.0	50.0	54.0	8.0	76.0	75.0	71.0	47.0	54.0	6.0	9.0	7.0	17.0	908792.0	860093.897055
sub-SAN_050	6.0	13.0	23.0	37.0	5.0	49.0	86.0	41.0	14.0	105.0	44.0	49.0	39.0	37.0	5.0	23.0	17.0	16.0	24.0	27.0	42.0	17.0	44.0	51.0	10.0	92.0	79.0	88.0	31.0	56.0	7.0	8.0	2.0	17.0	1147752.0	1098080.945136
sub-SAN_051	3.0	10.0	18.0	29.0	3.0	39.0	59.0	47.0	11.0	75.0	37.0	52.0	40.0	34.0	5.0	15.0	12.0	13.0	17.0	25.0	44.0	20.0	44.0	50.0	10.0	71.0	58.0	68.0	27.0	43.0	6.0	7.0	4.0	21.0	1053365.0	1012245.671151
sub-SAN_052	12.0	6.0	28.0	46.0	6.0	49.0	79.0	57.0	18.0	115.0	34.0	53.0	39.0	53.0	5.0	17.0	19.0	17.0	21.0	37.0	42.0	20.0	51.0	66.0	7.0	85.0	92.0	74.0	39.0	58.0	11.0	9.0	4.0	59.0	1259724.0	1243130.775214
sub-SAN_053	7.0	11.0	18.0	25.0	4.0	38.0	63.0	44.0	14.0	95.0	30.0	46.0	45.0	46.0	7.0	14.0	14.0	14.0	19.0	28.0	39.0	17.0	52.0	50.0	8.0	86.0	84.0	66.0	31.0	37.0	7.0	8.0	4.0	18.0	1075817.0	968871.047474
sub-SAN_055	6.0	8.0	21.0	31.0	6.0	43.0	78.0	61.0	17.0	88.0	41.0	56.0	34.0	63.0	6.0	18.0	15.0	13.0	24.0	37.0	50.0	20.0	53.0	52.0	9.0	101.0	86.0	73.0	33.0	54.0	6.0	9.0	3.0	27.0	1283700.0	1171485.705552
sub-SAN_058	7.0	14.0	27.0	25.0	2.0	39.0	78.0	54.0	17.0	108.0	37.0	50.0	40.0	50.0	6.0	18.0	16.0	17.0	28.0	23.0	43.0	22.0	57.0	54.0	13.0	98.0	93.0	73.0	41.0	47.0	9.0	7.0	5.0	21.0	1132154.0	1051634.102171
sub-SAN_059	11.0	14.0	24.0	33.0	3.0	45.0	81.0	42.0	15.0	63.0	45.0	43.0	35.0	43.0	4.0	22.0	16.0	12.0	17.0	24.0	45.0	20.0	46.0	55.0	7.0	74.0	75.0	74.0	29.0	44.0	8.0	8.0	3.0	24.0	1056902.0	1314873.407959
sub-SAN_060	8.0	14.0	21.0	29.0	4.0	38.0	55.0	43.0	23.0	76.0	37.0	40.0	40.0	39.0	5.0	14.0	16.0	11.0	18.0	27.0	44.0	17.0	37.0	45.0	11.0	80.0	73.0	56.0	40.0	50.0	7.0	8.0	5.0	21.0	990322.0	931765.486946
sub-SAN_061	6.0	21.0	20.0	36.0	3.0	37.0	62.0	46.0	18.0	95.0	36.0	58.0	32.0	43.0	7.0	19.0	20.0	12.0	24.0	32.0	42.0	23.0	48.0	58.0	13.0	70.0	85.0	73.0	29.0	47.0	8.0	8.0	5.0	17.0	1162167.0	1153366.166089
sub-SAN_065	7.0	18.0	28.0	28.0	4.0	46.0	84.0	53.0	21.0	79.0	35.0	55.0	39.0	55.0	6.0	15.0	16.0	17.0	19.0	30.0	44.0	23.0	52.0	46.0	15.0	87.0	77.0	75.0	43.0	60.0	9.0	7.0	9.0	24.0	1079029.0	973689.4599
sub-SAN_066	5.0	16.0	21.0	29.0	4.0	41.0	82.0	41.0	15.0	95.0	27.0	53.0	43.0	50.0	5.0	14.0	11.0	15.0	18.0	21.0	39.0	22.0	48.0	44.0	11.0	73.0	77.0	58.0	41.0	46.0	7.0	8.0	4.0	42.0	1039967.0	1070348.691192
sub-SAN_067	7.0	13.0	23.0	35.0	3.0	35.0	80.0	49.0	15.0	84.0	31.0	56.0	30.0	44.0	4.0	16.0	11.0	12.0	13.0	36.0	47.0	23.0	52.0	56.0	6.0	76.0	80.0	73.0	38.0	44.0	11.0	10.0	3.0	15.0	1022603.0	952731.443509
