rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-SAN_001	2.251	2.628	2.249	1.889	3.494	2.622	2.291	2.592	2.707	2.181	2.27	2.057	2.076	2.324	2.947	2.366	2.443	2.246	2.156	1.382	1.981	2.572	2.411	2.3	2.331	1.988	2.454	2.075	2.563	2.28	1.884	3.375	2.551	3.147	2.29293	1090732.0	1010279.205684
sub-SAN_003	2.271	2.168	2.175	1.637	3.702	2.506	2.11	2.47	2.324	2.065	2.261	1.793	2.201	2.242	3.254	2.311	2.331	2.238	2.182	1.325	1.785	2.417	2.261	2.212	2.372	2.107	2.536	2.002	2.444	2.123	2.507	3.568	2.379	2.761	2.20391	1088990.0	992870.183594
sub-SAN_004	2.033	2.219	2.25	1.904	3.461	2.598	2.117	2.368	2.291	2.09	2.515	1.969	2.236	2.389	2.725	2.473	2.368	2.2	2.261	1.574	1.915	2.199	2.444	2.355	2.364	2.033	2.485	1.963	2.507	2.125	2.568	3.351	2.67	3.086	2.26161	1218335.0	1137338.68849
sub-SAN_005	2.533	2.272	2.69	1.954	3.375	2.696	2.528	2.638	2.461	2.21	2.586	2.16	2.334	2.621	3.05	2.799	2.511	2.553	2.334	1.806	2.014	2.644	2.667	2.587	2.831	2.408	3.062	2.34	2.574	2.481	2.877	3.605	2.686	2.843	2.51982	997606.0	1394186.182988
sub-SAN_006	2.461	2.718	2.394	1.659	3.479	2.654	2.248	2.52	2.282	1.937	2.265	1.77	2.179	2.599	2.887	2.511	2.333	2.42	2.136	1.246	1.879	2.447	2.545	2.231	2.706	2.06	2.618	2.064	2.735	2.268	2.318	3.961	2.462	2.958	2.29386	1074106.0	1001933.714542
sub-SAN_008	1.803	2.203	2.472	1.917	3.295	2.503	2.231	2.201	2.506	2.201	2.287	2.179	1.936	2.405	2.569	2.384	2.45	2.557	2.468	1.542	2.067	2.244	2.554	2.278	2.354	2.191	2.649	2.226	2.764	2.223	2.632	3.316	2.586	2.77	2.33525	1034954.0	922829.551176
sub-SAN_009	2.188	2.671	2.322	1.721	3.337	2.667	2.333	2.426	2.219	1.809	2.333	1.533	2.324	2.47	2.569	2.198	2.48	2.241	2.378	1.231	2.087	2.651	1.898	2.295	3.093	2.069	2.626	1.982	2.554	2.305	2.512	3.901	2.367	3.188	2.24639	957809.0	884022.354862
sub-SAN_015	2.137	2.515	2.431	1.515	3.204	2.597	2.205	2.363	2.353	2.025	2.414	1.79	2.296	2.429	2.88	2.434	2.221	2.481	2.214	1.148	1.834	2.488	2.319	2.255	2.85	2.024	2.531	2.089	2.573	2.35	2.271	3.648	2.53	2.963	2.26093	974506.0	899587.403564
sub-SAN_021	2.2	2.363	2.586	1.77	3.122	2.634	2.224	2.256	2.579	2.044	2.429	1.986	2.455	2.452	2.679	2.547	2.542	2.424	2.423	1.257	1.928	2.4	2.509	2.464	2.499	2.053	2.689	2.091	2.801	2.356	2.281	3.3	2.935	3.301	2.35496	1229370.0	1152110.127842
sub-SAN_022	2.702	2.538	2.508	1.839	3.269	2.847	2.529	2.796	2.522	2.307	2.425	2.054	2.292	2.832	2.823	2.632	2.579	2.833	2.474	1.445	2.021	2.679	2.588	2.469	2.447	2.228	2.821	2.155	2.912	2.613	2.559	3.862	2.497	3.263	2.50535	1069245.0	1449552.821989
sub-SAN_023	2.2	2.4	2.176	1.816	2.396	2.305	2.146	2.095	2.671	1.936	2.223	1.855	1.975	2.191	2.417	2.612	2.257	2.239	2.102	1.25	1.913	2.477	2.354	2.493	2.316	1.952	2.458	2.076	2.295	2.146	2.077	2.913	2.673	2.815	2.18228	1057188.0	974402.751316
sub-SAN_024	2.585	2.713	2.538	1.964	3.407	2.856	2.535	2.872	2.446	2.357	2.825	1.952	2.39	2.871	2.95	2.659	2.76	2.849	2.385	1.408	2.005	2.755	2.727	2.53	3.186	2.357	3.024	2.271	3.009	2.414	2.899	3.535	2.591	3.27	2.57835	1112959.0	1297886.166557
sub-SAN_030	2.235	2.474	2.038	1.776	2.5	2.446	2.13	2.007	2.396	1.928	2.428	2.005	2.103	2.296	2.78	2.421	2.018	2.324	1.905	1.41	1.746	2.308	2.133	2.356	2.723	1.951	2.38	2.006	2.405	2.167	2.024	3.077	2.285	2.889	2.15785	1085936.0	983547.686108
sub-SAN_032	2.467	2.68	2.637	1.543	3.529	2.765	2.606	2.806	2.569	2.108	2.694	1.9	2.446	2.765	2.77	2.487	2.691	2.675	2.549	1.389	2.087	2.597	2.524	2.42	2.636	2.428	2.939	2.246	2.974	2.619	3.092	3.476	2.422	3.194	2.53253	1009734.0	1396155.803869
sub-SAN_034	2.411	2.417	2.363	1.78	3.009	2.627	2.273	2.351	2.681	1.958	2.344	1.894	2.291	2.436	2.886	2.469	2.413	2.402	2.241	1.39	1.861	2.427	2.432	2.414	2.46	2.045	2.553	2.063	2.61	2.346	2.223	3.325	2.348	2.865	2.29068	991697.0	874283.698998
sub-SAN_036	2.202	2.214	2.21	1.747	3.49	2.632	2.227	2.285	2.157	2.012	2.39	1.949	2.217	2.105	2.734	2.308	2.439	2.138	2.181	1.224	1.806	2.37	2.385	2.43	2.423	1.985	2.477	1.976	2.502	2.252	2.174	3.622	2.404	3.015	2.23482	976705.0	894966.740372
sub-SAN_038	2.138	2.28	2.205	1.833	2.957	2.64	2.048	2.295	2.208	2.049	2.306	1.784	2.058	2.223	2.48	2.538	2.273	2.305	2.155	1.324	1.755	2.429	2.494	2.503	2.084	1.925	2.592	2.059	2.647	2.187	2.12	3.33	2.651	3.006	2.25315	1170336.0	1110896.210119
sub-SAN_040	2.216	2.128	2.291	1.63	3.932	2.434	2.09	2.301	2.052	1.859	2.299	1.989	2.034	2.396	2.801	2.237	2.555	2.231	2.229	1.439	1.714	2.321	2.493	2.281	2.153	2.086	2.604	1.958	2.461	2.092	2.192	3.794	2.38	2.739	2.20764	1050661.0	939712.730654
sub-SAN_042	2.306	2.235	2.392	1.668	3.434	2.584	2.148	2.362	2.469	1.932	2.371	1.885	2.347	2.311	2.66	2.486	2.335	2.156	2.151	1.364	1.958	2.331	2.521	2.378	2.759	2.124	2.66	2.055	2.464	2.267	2.278	3.393	2.282	3.094	2.28092	1039688.0	1025428.140357
sub-SAN_043	2.437	2.514	2.286	1.716	2.774	2.365	2.216	2.271	2.319	2.009	2.429	1.749	2.133	2.422	2.68	2.317	2.186	2.337	2.194	1.277	1.939	2.314	2.545	2.366	2.617	2.083	2.668	2.15	2.588	2.32	2.36	3.612	2.209	2.876	2.27697	1235153.0	1192285.566108
sub-SAN_044	2.106	2.501	2.137	1.691	3.367	2.662	2.199	2.381	2.409	2.036	2.39	1.867	2.296	2.318	2.393	2.341	2.207	2.284	2.214	1.325	1.771	2.459	2.214	2.347	2.781	1.992	2.398	1.989	2.578	2.103	2.556	3.881	2.254	2.994	2.2284	880914.0	797175.768185
sub-SAN_046	2.137	2.259	2.105	1.315	2.992	2.574	2.197	2.496	2.273	1.858	2.442	1.772	2.224	2.422	2.455	2.239	2.586	2.176	2.153	1.096	1.849	2.274	2.51	2.233	2.765	1.946	2.411	2.018	2.752	2.12	2.414	3.533	2.4	2.83	2.21806	1256330.0	1121548.230544
