Region,Shapiro p (GW),Shapiro p (GK),Test used,p-value,Statistically significant
lh_Accessory-Basal-nucleus,0.30313334872625153,0.0002604884875831153,Mann-Whitney U,0.5427991998199972,False
lh_Anterior-amygdaloid-area-AAA,0.749916051445585,0.015140739983668543,Mann-Whitney U,0.35174536997013994,False
lh_Basal-nucleus,0.17455481023041625,0.0011428098128881353,Mann-Whitney U,0.25574103228497835,False
lh_CA1-body,0.9146865954880085,0.4027719960078241,t-test,0.16801979704585362,False
lh_CA1-head,0.00243201599275147,0.011155057787982607,Mann-Whitney U,0.12183260913195794,False
lh_CA3-body,0.23913498690422835,0.5294955932732656,t-test,0.20360427191076524,False
lh_CA3-head,0.6489728985273949,0.0032800440987790377,Mann-Whitney U,0.2682136409095264,False
lh_CA4-body,0.21676090403795317,0.5689068773451763,t-test,0.00404261732370678,True
lh_CA4-head,0.23424729249152765,0.021814314838191053,Mann-Whitney U,0.8316090823653649,False
lh_Central-nucleus,0.08050982234976371,0.002205740673898232,Mann-Whitney U,0.05026064814901436,False
lh_Cortical-nucleus,0.9395381934800116,0.00046237993693996427,Mann-Whitney U,0.6652988577174523,False
lh_Corticoamygdaloid-transitio,0.3363431528915246,0.001287027181220346,Mann-Whitney U,0.9240601610496681,False
lh_GC-ML-DG-body,0.45220323554953906,0.48830408069629583,t-test,0.0045352901422591645,True
lh_GC-ML-DG-head,0.14662617040516557,0.009630364043186127,Mann-Whitney U,0.6652988577174523,False
lh_HATA,0.13003613728904373,0.0009719480542742552,Mann-Whitney U,0.5924687199685381,False
lh_Hippocampal_tail,0.47219983386118575,0.11775931384312005,t-test,0.219349879113324,False
lh_Lateral-nucleus,0.041610491589028235,0.2884619794496178,Mann-Whitney U,0.30120060673958793,False
lh_Medial-nucleus,0.00021546868306443354,0.000328992763284404,Mann-Whitney U,0.5427991998199972,False
lh_Paralaminar-nucleus,0.14339851843456874,0.021534529791191564,Mann-Whitney U,0.23201905951948731,False
lh_Whole_amygdala,0.28826766819737354,0.003687240670398942,Mann-Whitney U,0.329459418156267,False
